76,76,76,76,76,76,76,76,76,76
112,112,112,112,112,112,112,112,112,112
112,112,112,112,112,112,112,112,112,112
0,0,0,0,0,0,0,0,0,0
75,75,75,75,75,75,75,75,75,75
0:00:03,0:00:02,0:00:02,0:00:03,0:00:02,0:00:02,0:00:02,0:00:02,0:00:03,0:00:02
1,1,1,1,1,1,1,1,1,1
69,69,69,69,69,69,69,69,69,69
102,105,139,104,109,117,102,102,102,114
101,100,92,102,99,100,100,101,99,95
1,5,47,2,10,17,2,1,3,19
69,74,1465,70,80,96,70,69,70,91
0:00:02,0:00:02,0:02:02,0:00:02,0:00:03,0:00:04,0:00:02,0:00:02,0:00:02,0:00:03
2,3,11,2,5,6,2,2,3,5
61,61,61,61,61,61,61,61,61,61
130,101,92,104,120,122,92,116,134,101
79,82,90,86,85,80,87,96,81,98
51,19,2,18,35,42,5,20,53,3
1590,94,61,80,422,775,66,163,1974,62
0:01:53,0:00:03,0:00:01,0:00:02,0:00:19,0:00:53,0:00:02,0:00:06,0:02:25,0:00:01
11,6,2,6,12,11,3,9,14,2
54,54,54,54,54,54,54,54,54,54
86,92,100,108,119,140,105,114,123,146
78,74,73,76,72,74,76,71,78,77
8,18,27,32,47,66,29,43,45,69
63,113,152,158,476,4164,367,692,4194,5664
0:00:01,0:00:03,0:00:05,0:00:05,0:00:26,0:04:43,0:00:17,0:00:35,0:03:15,0:06:21
4,6,7,8,10,18,11,11,15,20
46,46,46,46,46,46,46,46,46,46
117,82,91,108,95,84,111,92,82,121
58,66,74,51,64,61,60,42,58,54
59,16,17,57,31,23,51,50,24,67
5389,100,68,4698,222,262,1956,10368,114,3689
0:04:37,0:00:03,0:00:01,0:03:51,0:00:07,0:00:09,0:01:29,0:07:46,0:00:03,0:03:05
17,8,8,18,12,10,12,15,7,18
38,38,38,38,38,38,38,38,38,38
63,69,71,67,105,95,82,73,85,111
41,44,36,33,45,42,38,51,42,52
22,25,35,34,60,53,44,22,43,59
73,150,900,1787,15777,2085,3524,123,682,1221
0:00:01,0:00:04,0:00:27,0:00:55,0:10:32,0:01:14,0:01:55,0:00:02,0:00:20,0:00:38
8,11,15,15,18,15,16,11,15,14
31,31,31,31,31,31,31,31,31,31
39,62,63,55,57,41,57,49,68,38
31,26,32,29,30,37,26,33,34,29
8,36,31,26,27,4,31,16,34,9
44,1958,840,761,377,32,1547,78,549,58
0:00:00,0:00:47,0:00:19,0:00:19,0:00:07,0:00:00,0:00:38,0:00:01,0:00:11,0:00:01
5,15,13,15,11,3,13,6,12,7
23,23,23,23,23,23,23,23,23,23
57,57,36,34,33,34,23,38,18,51
21,15,23,22,21,14,9,14,16,15
36,42,13,12,12,20,14,24,2,36
1119,2118,41,38,59,233,45,688,23,876
0:00:18,0:00:39,0:00:00,0:00:00,0:00:01,0:00:03,0:00:00,0:00:10,0:00:00,0:00:13
13,15,5,5,8,9,5,11,2,12
16,16,16,16,16,16,16,16,16,16
26,17,15,8,7,22,18,18,18,32
9,8,10,4,4,14,10,7,11,4
17,9,5,4,3,8,8,11,7,28
125,35,19,22,22,26,41,50,36,840
0:00:01,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:07
8,6,4,4,4,6,6,7,6,11
8,8,8,8,8,8,8,8,8,8
3,8,9,4,2,6,5,4,7,3
2,6,6,4,2,6,1,3,4,1
1,2,3,0,0,0,4,1,3,2
7,6,9,6,6,6,14,6,8,8
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
2,3,3,1,1,1,4,2,3,2