35,35,35,35,35,35,35,35,35,35
46,46,46,46,46,46,46,46,46,46
46,46,46,46,46,46,46,46,46,46
0,0,0,0,0,0,0,0,0,0
34,34,34,34,34,34,34,34,34,34
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:01,0:00:00
1,1,1,1,1,1,1,1,1,1
32,32,32,32,32,32,32,32,32,32
48,43,48,48,43,42,43,48,48,43
45,43,45,45,43,42,43,44,45,43
3,0,3,3,0,0,0,4,3,0
33,31,33,33,31,31,31,34,33,31
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,1,3,3,1,1,1,3,3,1
28,28,28,28,28,28,28,28,28,28
43,54,48,44,43,39,42,42,54,44
40,44,42,39,39,38,40,39,44,39
3,10,6,5,4,1,2,3,10,5
29,32,31,31,30,28,28,27,35,29
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,5,3,3,3,2,2,3,5,3
25,25,25,25,25,25,25,25,25,25
36,36,36,50,44,42,38,40,44,41
34,35,35,40,38,36,36,37,40,38
2,1,1,10,6,6,2,3,4,3
25,25,25,27,28,29,25,26,26,26
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
2,2,2,5,3,4,2,3,3,3
21,21,21,21,21,21,21,21,21,21
41,42,38,56,32,35,35,35,32,35
37,31,32,35,30,31,31,27,29,31
4,11,6,21,2,4,4,8,3,4
21,25,24,35,21,22,20,23,22,21
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
4,5,3,7,2,2,4,5,2,4
18,18,18,18,18,18,18,18,18,18
33,44,39,34,33,32,25,59,34,39
27,29,28,28,28,28,22,38,27,32
6,15,11,6,5,4,3,21,7,7
20,36,20,21,20,20,19,24,24,21
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,6,5,4,3,3,3,7,4,5
14,14,14,14,14,14,14,14,14,14
37,43,9,37,46,36,28,35,33,26
26,33,9,22,31,24,21,24,23,20
11,10,0,15,15,12,7,11,10,6
17,17,13,28,12,16,15,19,17,14
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
5,5,1,6,6,7,4,5,5,4
11,11,11,11,11,11,11,11,11,11
15,27,26,17,24,36,14,22,24,18
12,17,16,14,17,26,11,18,15,12
3,10,10,3,7,10,3,4,9,6
10,13,14,12,11,12,11,11,14,12
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,5,5,3,6,5,3,4,5,5
7,7,7,7,7,7,7,7,7,7
11,13,18,10,18,14,18,11,18,20
8,7,12,4,13,11,13,8,12,10
3,6,6,6,5,3,5,3,6,10
6,3,5,6,5,5,4,4,7,1
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,4,4,4,5,3,5,3,4,5
4,4,4,4,4,4,4,4,4,4
3,5,3,3,7,4,4,2,0,6
3,2,2,3,4,3,3,1,0,5
0,3,1,0,3,1,1,1,0,1
2,2,2,2,2,2,2,2,3,1
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,3,2,1,3,2,2,2,1,2