32,32,32,32,32,32,32,32,32,32
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
3:00:00,3:00:00,3:00:00,3:00:00,3:00:00,3:00:00,3:00:00,3:00:00,3:00:00,3:00:00
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
29,29,29,29,29,29,29,29,29,29
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
2:00:00,2:00:00,2:00:00,2:00:00,2:00:00,2:00:00,2:00:00,2:00:00,2:00:00,2:00:00
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
26,26,26,26,26,26,26,26,26,26
85,54,70,85,81,77,77,95,63,77
68,51,65,73,69,68,68,77,58,58
17,3,5,12,12,9,9,18,5,19
58,29,31,47,40,46,34,59,34,83
0:12:58,0:47:24,0:09:08,0:11:21,0:04:39,0:07:05,0:20:40,0:07:46,0:03:45,0:08:49
7,3,3,7,4,5,4,9,4,9
3639,4705,3235,4765,4235,4022,4489,3528,3128,3374
59,30,32,48,41,47,35,60,35,84
23,23,23,23,23,23,23,23,23,23
69,82,74,104,61,63,50,91,68,63
58,66,61,79,48,52,45,66,53,50
11,16,13,25,13,11,5,25,15,13
36,40,37,117,45,35,31,69,46,33
0:00:48,0:01:33,0:02:01,0:00:44,0:04:04,0:00:56,0:01:46,0:00:24,0:05:22,0:03:20
4,7,5,10,5,5,4,9,6,5
1838,2384,2259,2075,3083,1560,1816,1598,2610,1656
37,41,38,118,46,36,32,70,47,34
20,20,20,20,20,20,20,20,20,20
80,66,59,61,84,64,83,92,98,96
49,47,44,46,53,43,53,61,60,60
31,19,15,15,31,21,30,31,38,36
121,65,42,26,66,32,63,75,101,92
0:00:55,0:00:09,0:00:14,0:00:12,0:00:19,0:00:11,0:00:14,0:00:56,0:00:06,0:00:10
11,9,9,6,12,9,10,9,11,13
1216,872,1427,1398,1041,838,1059,932,1223,681
122,66,43,27,93,33,64,76,102,133
16,16,16,16,16,16,16,16,16,16
54,59,54,38,48,37,47,42,61,53
27,34,33,30,27,25,29,28,39,35
27,25,21,8,21,12,18,14,22,18
94,50,46,43,46,78,60,72,40,71
0:00:02,0:00:03,0:00:01,0:00:02,0:00:03,0:00:29,0:00:02,0:00:29,0:00:30,0:00:30
9,9,10,6,9,8,11,9,10,9
635,472,356,594,551,889,543,799,273,675
99,54,59,44,47,86,65,75,87,78
13,13,13,13,13,13,13,13,13,13
51,36,25,66,40,48,49,41,66,47
23,20,19,31,23,21,34,29,30,24
28,16,6,35,17,27,15,12,36,23
57,29,16,15,30,56,14,17,22,35
0:00:00,0:00:03,0:00:00,0:00:00,0:00:03,0:00:03,0:00:00,0:00:00,0:00:00,0:00:00
10,7,4,10,7,10,9,7,10,9
258,289,191,165,217,247,85,138,154,211
91,38,17,122,31,65,24,32,62,40
10,10,10,10,10,10,10,10,10,10
24,21,25,19,31,19,34,30,29,14
12,13,17,17,17,11,13,14,14,9
12,8,8,2,14,8,21,16,15,5
25,17,14,10,12,10,26,34,27,17
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
6,6,5,2,7,7,8,7,7,5
104,103,58,64,73,155,95,111,101,143
35,34,15,11,29,23,35,41,30,18
7,7,7,7,7,7,7,7,7,7
5,14,16,21,7,16,14,13,8,6
3,11,5,15,6,8,8,5,7,5
2,3,11,6,1,8,6,8,1,1
7,4,7,3,5,7,6,9,5,6
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,3,7,4,2,5,4,5,2,2
63,23,47,14,49,31,23,41,41,35
8,7,27,9,7,12,11,18,7,7
4,4,4,4,4,4,4,4,4,4
6,7,6,4,4,4,7,5,3,4
3,4,3,1,2,2,2,2,2,2
3,3,3,3,2,2,5,3,1,2
0,1,1,2,3,2,1,1,3,1
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,3,3,4,3,3,4,3,2,3
8,6,7,11,9,9,9,9,8,9
8,5,6,7,6,5,8,8,4,7