8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
0,0,0,0,0,0,0,0,0,0
2667,2667,2667,2667,2667,2667,2667,2667,2667,2667
0:03:56,0:03:54,0:03:51,0:03:47,0:03:48,0:03:45,0:03:47,0:03:49,0:03:47,0:03:48
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
0,0,0,0,0,0,0,0,0,0
2667,2667,2667,2667,2667,2667,2667,2667,2667,2667
0:03:44,0:03:49,0:03:51,0:03:53,0:03:48,0:03:47,0:03:55,0:03:52,0:04:11,0:03:52
7,7,7,7,7,7,7,7,7,7
9,7,7,6,7,7,7,9,6,7
8,7,7,6,6,6,7,8,6,7
1,0,0,0,1,1,0,1,0,0
453,571,571,973,633,633,571,453,973,571
0:00:08,0:00:12,0:00:11,0:00:28,0:00:13,0:00:13,0:00:10,0:00:08,0:00:29,0:00:10
6,6,6,6,6,6,6,6,6,6
5,6,6,6,6,5,6,6,6,8
5,6,6,6,6,5,5,6,5,7
0,0,0,0,0,0,1,0,1,1
211,119,107,129,119,211,119,169,119,99
0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01
5,5,5,5,5,5,5,5,5,5
5,7,4,5,5,5,7,7,5,5
4,4,4,5,4,4,5,6,4,5
1,3,0,0,1,1,2,1,1,0
24,23,53,39,27,27,9,9,39,17
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
4,4,4,4,4,4,4,4,4,4
4,5,4,4,3,4,4,3,4,4
4,3,3,3,3,3,4,3,3,3
0,2,1,1,0,1,0,0,1,1
5,1,5,5,9,5,2,9,2,5
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
4,4,4,4,4,4,4,4,4,4
4,3,4,3,3,3,3,2,4,5
4,3,4,3,3,3,3,2,3,3
0,0,0,0,0,0,0,0,1,2
5,9,2,9,9,9,9,25,2,1
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,3,3,3,3,3,3,3,3,3
3,3,1,3,4,3,3,2,2,1
2,3,1,3,1,2,3,2,2,1
1,0,0,0,3,1,0,0,0,0
0,0,5,0,0,0,0,1,1,5
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
2,2,2,2,2,2,2,2,2,2
0,1,1,1,0,1,0,0,1,0
0,1,1,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,1,0,1
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00