90,90,90,90,90,90,90,90,90,90
135,135,135,135,135,135,135,135,135,135
0,0,0,0,0,0,0,0,0,0
81,81,81,81,81,81,81,81,81,81
130,138,138,125,129,141,134,131,134,135
7,12,10,1,5,9,13,4,10,10
72,72,72,72,72,72,72,72,72,72
120,127,146,116,130,110,140,137,143,131
10,11,20,2,16,3,30,21,33,22
63,63,63,63,63,63,63,63,63,63
152,120,131,150,126,127,127,150,165,132
35,16,22,41,16,25,22,47,48,26
54,54,54,54,54,54,54,54,54,54
130,141,99,103,164,192,122,141,137,152
38,35,21,28,48,91,27,41,54,51
45,45,45,45,45,45,45,45,45,45
150,125,146,175,130,142,136,176,220,135
55,65,46,90,49,59,57,86,102,58
36,36,36,36,36,36,36,36,36,36
127,178,147,136,157,191,141,119,245,154
63,115,79,65,92,83,80,37,150,92
27,27,27,27,27,27,27,27,27,27
130,54,136,101,123,108,77,117,111,60
89,17,74,49,73,57,31,44,63,31
18,18,18,18,18,18,18,18,18,18
108,81,43,77,63,68,76,77,75,110
63,37,25,37,31,22,44,56,36,62
9,9,9,9,9,9,9,9,9,9
7,21,11,40,32,7,16,15,20,43
4,5,4,21,18,1,7,8,7,25