11,11,11,11,11,11,11,11,11,11
17,17,17,17,17,17,17,17,17,17
17,17,17,17,17,17,17,17,17,17
0,0,0,0,0,0,0,0,0,0
10,10,10,10,10,10,10,10,10,10
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,1,1,1,1,1,1,1,1,1
10,10,10,10,10,10,10,10,10,10
15,16,15,27,16,14,15,15,15,14
15,15,15,12,15,14,15,15,15,14
0,1,0,15,1,0,0,0,0,0
9,9,9,22,9,9,9,9,9,9
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,2,1,6,2,1,1,1,1,1
9,9,9,9,9,9,9,9,9,9
12,20,13,21,20,13,20,13,12,17
12,10,13,6,10,13,10,13,12,11
0,10,0,15,10,0,10,0,0,6
8,15,8,21,18,8,15,8,8,10
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,5,1,6,5,1,5,1,1,4
8,8,8,8,8,8,8,8,8,8
11,15,12,12,10,14,10,11,15,12
11,9,9,12,10,8,10,11,9,12
0,6,3,0,0,6,0,0,6,0
7,9,8,5,7,14,7,7,9,5
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,4,3,1,1,4,1,1,4,1
7,7,7,7,7,7,7,7,7,7
13,10,11,19,8,18,13,9,8,11
3,10,8,9,8,3,6,6,8,11
10,0,3,10,0,15,7,3,0,0
16,3,6,2,6,1,13,10,6,4
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
5,1,3,5,1,6,4,3,1,1
6,6,6,6,6,6,6,6,6,6
11,9,8,7,7,10,7,6,12,9
5,3,8,6,6,4,6,6,6,5
6,6,0,1,1,6,1,0,6,4
1,8,3,5,5,9,5,5,2,6
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
4,4,1,2,2,4,2,1,4,3
5,5,5,5,5,5,5,5,5,5
7,5,7,4,6,4,6,11,4,11
3,5,4,4,5,3,3,5,3,5
4,0,3,0,1,1,3,6,1,6
5,2,2,4,2,3,5,1,5,0
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,1,3,1,2,2,3,4,2,4
4,4,4,4,4,4,4,4,4,4
7,3,3,3,8,5,10,2,4,6
4,3,1,3,2,2,4,1,3,3
3,0,2,0,6,3,6,1,1,3
1,1,3,1,0,1,0,3,1,1
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,1,2,1,4,3,4,2,2,3
3,3,3,3,3,3,3,3,3,3
2,2,1,1,1,1,1,3,5,5
1,1,0,0,1,0,1,3,2,2
1,1,1,1,0,1,0,0,3,3
1,1,1,1,1,1,1,0,0,0
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
2,2,2,2,1,2,1,1,3,3
2,2,2,2,2,2,2,2,2,2
1,2,0,1,1,1,2,2,0,1
0,1,0,1,0,1,1,1,0,1
1,1,0,0,1,0,1,1,0,0
0,0,1,0,0,0,0,0,1,0
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
2,2,1,1,2,1,2,2,1,1