-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
8,8,8,8,8,8,8,8,8,8
19,11,11,12,14,14,12,18,15,15
9,10,11,11,8,8,11,8,9,9
10,1,0,1,6,6,1,10,6,6
2623,4067,4239,3871,3871,4009,3871,3325,4009,3871
0:05:04,0:09:18,0:09:58,0:07:13,0:07:22,0:07:30,0:07:05,0:06:02,0:07:54,0:08:38
7,7,7,7,7,7,7,7,7,7
9,16,10,14,9,9,14,10,13,18
9,6,7,8,8,8,8,10,7,8
0,10,3,6,1,1,6,0,6,10
877,1055,1235,1055,1181,1181,821,813,1055,665
0:00:26,0:00:44,0:00:39,0:00:37,0:00:37,0:00:36,0:00:24,0:00:20,0:00:35,0:00:36
6,6,6,6,6,6,6,6,6,6
15,8,12,7,8,9,11,8,8,15
5,8,6,4,8,9,5,5,5,5
10,0,6,3,0,0,6,3,3,10
211,231,211,325,231,53,211,325,325,211
0:00:03,0:00:02,0:00:02,0:00:03,0:00:02,0:00:00,0:00:02,0:00:03,0:00:03,0:00:03
5,5,5,5,5,5,5,5,5,5
6,8,7,4,7,6,12,7,8,4
2,8,4,4,4,3,6,3,2,3
4,0,3,0,3,3,6,4,6,1
95,5,65,95,69,95,0,95,65,95
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
4,4,4,4,4,4,4,4,4,4
5,5,3,6,5,9,7,4,5,4
2,2,2,3,2,3,4,1,2,1
3,3,1,3,3,6,3,3,3,3
19,19,25,19,19,0,0,19,19,19
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,3,3,3,3,3,3,3,3,3
5,1,1,1,4,3,1,1,2,4
2,1,1,1,1,3,0,0,1,3
3,0,0,0,3,0,1,1,1,1
0,5,5,5,0,0,5,5,5,0
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
2,2,2,2,2,2,2,2,2,2
0,0,0,1,0,1,0,0,1,1
0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,1,1
1,1,1,0,1,0,1,1,0,0
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00